zone_type,zone_label,platform,avg_price,avg_fee,avg_time,avg_total_price,rank_in_zone,rappi_rank
commercial,Reforma (Oficinas),didifood,127.6,14.6,23.6,142.2,1.0,2.0
commercial,Reforma (Oficinas),rappi,121.5,22.75,27.62,154.75,2.0,2.0
commercial,Reforma (Oficinas),ubereats,145.0,35.2,32.8,194.6,3.0,2.0
high_income,Condesa,didifood,181.0,0.0,21.0,181.0,2.0,4.0
high_income,Condesa,didifood,181.0,0.0,21.0,181.0,2.0,7.0
high_income,Condesa,didifood,181.0,0.0,21.0,181.0,2.0,5.0
high_income,Condesa,rappi,142.6,29.2,26.0,183.4,4.0,4.0
high_income,Condesa,rappi,142.6,29.2,26.0,183.4,4.0,7.0
high_income,Condesa,rappi,142.6,29.2,26.0,183.4,4.0,5.0
high_income,Condesa,ubereats,145.4,32.6,30.2,191.6,5.0,4.0
high_income,Condesa,ubereats,145.4,32.6,30.2,191.6,5.0,7.0
high_income,Condesa,ubereats,145.4,32.6,30.2,191.6,5.0,5.0
high_income,Polanco,didifood,143.5,23.0,20.5,173.5,1.0,4.0
high_income,Polanco,didifood,143.5,23.0,20.5,173.5,1.0,7.0
high_income,Polanco,didifood,143.5,23.0,20.5,173.5,1.0,5.0
high_income,Polanco,rappi,149.5,30.0,23.5,192.5,7.0,4.0
high_income,Polanco,rappi,149.5,30.0,23.5,192.5,7.0,7.0
high_income,Polanco,rappi,149.5,30.0,23.5,192.5,7.0,5.0
high_income,Polanco,ubereats,149.6,24.0,29.1,195.0,8.0,4.0
high_income,Polanco,ubereats,149.6,24.0,29.1,195.0,8.0,7.0
high_income,Polanco,ubereats,149.6,24.0,29.1,195.0,8.0,5.0
high_income,Santa Fe,rappi,138.4,35.2,24.7,191.6,5.0,4.0
high_income,Santa Fe,rappi,138.4,35.2,24.7,191.6,5.0,7.0
high_income,Santa Fe,rappi,138.4,35.2,24.7,191.6,5.0,5.0
high_income,Santa Fe,ubereats,145.0,19.2,30.0,182.8,3.0,4.0
high_income,Santa Fe,ubereats,145.0,19.2,30.0,182.8,3.0,7.0
high_income,Santa Fe,ubereats,145.0,19.2,30.0,182.8,3.0,5.0
low_income,Iztapalapa,didifood,139.75,7.5,38.0,147.25,1.0,2.0
low_income,Iztapalapa,rappi,128.2,47.8,44.9,188.8,2.0,2.0
low_income,Iztapalapa,ubereats,137.2,40.2,47.7,195.6,3.0,2.0
medium_high_income,Del Valle,didifood,126.0,4.0,25.0,130.0,1.0,2.0
medium_high_income,Del Valle,rappi,135.0,21.75,29.0,172.5,2.0,2.0
medium_high_income,Del Valle,ubereats,139.2,29.0,34.5,190.6,3.0,2.0
medium_income,Narvarte,didifood,138.5,0.0,31.5,138.5,1.0,2.0
medium_income,Narvarte,rappi,133.0,30.8,36.3,179.6,2.0,2.0
medium_income,Narvarte,ubereats,139.8,29.8,39.4,188.2,3.0,2.0
